CERT,CHCLASS1,CITYST,COST,FAILDATE,FIN,ID,NAME,Asset,QBFDEP,RESTYPE,RESTYPE1,SAVR,AssetinBil
416,NM,"KINGFISHER, OK",8725,6/8/2012,10443,4007,FIRST CAPITAL BANK,"44,448.00",44828,FAILURE,PA,DIF,0.044448
9257,NM,"SHABBONA, IL",10243,6/8/2012,10442,4008,FARMERS' AND TRADERS' STATE BANK,"43,077.00",42302,FAILURE,PA,DIF,0.043077
34515,SM,"WHITEVILLE, NC",23756,6/8/2012,10444,4009,WACCAMAW BANK,"533,114.00",472704,FAILURE,PA,DIF,0.533114
35372,SB,"CHARLESTON, SC",17732,6/8/2012,10441,4010,CAROLINA FEDERAL SAVINGS BANK,"54,373.00",53082,FAILURE,PA,DIF,0.054373
35224,N,"SYLACAUGA, AL",10672,5/18/2012,10440,4006,"ALABAMA TRUST BANK, NATIONAL ASSOCIATION","51,553.00",45149,FAILURE,PA,DIF,0.051553
23156,N,"NORTH LAUDERDALE, FL",15098,5/4/2012,10439,4005,"SECURITY BANK, NATIONAL ASSOCIATION","101,026.00",99067,FAILURE,PA,DIF,0.101026
23632,N,"PALM DESERT, CA",26331,4/27/2012,10437,4000,PALM DESERT NATIONAL BANK,"129,253.00",129023,FAILURE,PA,DIF,0.129253
26759,SM,"CAMBRIDGE, MD",58160,4/27/2012,10434,4001,BANK OF THE EASTERN SHORE,"162,460.00",150951,FAILURE,DINB,DIF,0.16246
31495,SB,"MAPLE GROVE, MN",79681,4/27/2012,10436,4002,"INTER SAVINGS BANK, FSB D/B/A/ INTERBANK, FSB","463,840.00",458053,FAILURE,PA,DIF,0.46384
32503,SB,"PAWLEYS ISLAND, SC",83230,4/27/2012,10438,4003,PLANTATION FEDERAL BANK,"433,512.00",415943,FAILURE,PA,DIF,0.433512
57766,NM,"GAITHERSBURG, MD",26694,4/27/2012,10435,4004,HARVEST BANK OF MARYLAND,"163,019.00",145534,FAILURE,PA,DIF,0.163019
35527,SB,"FORT LEE, NJ",12013,4/20/2012,10433,3999,"FORT LEE FEDERAL SAVINGS BANK, FSB","48,861.00",47786,FAILURE,PA,DIF,0.048861
33883,NM,"DEARBORN, MI",97229,3/30/2012,10432,3998,FIDELITY BANK,"818,237.00",747640,FAILURE,PA,DIF,0.818237
35419,NM,"WILMETTE, IL",69582,3/23/2012,10431,3996,PREMIER BANK,"268,703.00",198953,FAILURE,PA,DIF,0.268703
58068,NM,"ROCK SPRING, GA",30279,3/23/2012,10430,3997,CONVENANT BANK & TRUST,"95,725.00",90632,FAILURE,PA,DIF,0.095725
57597,NM,"CHICAGO, IL",14523,3/9/2012,10429,3995,NEW CITY BANK,"71,202.00",72399,FAILURE,PO,DIF,0.071202
34046,NM,"DORAVILLE, GA",40404,3/2/2012,10428,3994,GLOBAL COMMERCE BANK,"143,678.00",116813,FAILURE,PA,DIF,0.143678
5687,NM,"ELLAVILLE, GA",51763,2/24/2012,10426,3992,CENTRAL BANK OF GEORGIA,"278,860.00",266589,FAILURE,PA,DIF,0.27886
29178,SB,"LITTLE FALLS, MN",43353,2/24/2012,10427,3993,HOME SAVINGS OF AMERICA,"434,111.00",432223,FAILURE,PO,DIF,0.434111
23187,N,"HOFFMAN ESTATES, IL",18454,2/10/2012,10424,3990,CHARTER NATIONAL BANK AND TRUST,"93,894.00",89485,FAILURE,PA,DIF,0.093894
29761,SB,"SHELBYVILLE, IN",38335,2/10/2012,10425,3991,SCB BANK,"182,561.00",171365,FAILURE,PA,DIF,0.182561
