"Date","Price","Open","High","Low","Vol.","Change %"
6/1/2003,23.809999,25.219999,27,22.299999,23294310,-5.59%
7/1/2003,24.77,23.809999,24.879999,23.25,12028764,4.03%
8/1/2003,23.6,24.6,24.620001,22.66,6485489,-4.07%
9/1/2003,27.6,23.6,31.000999,23.49,15421438,16.95%
10/1/2003,34.970001,27.459999,35.639999,27.459999,10720506,27.35%
11/1/2003,36.73,35.110001,37.169998,34.68,6588015,4.61%
12/1/2003,36.07,36.810001,37.25,33.16,7527142,-2.01%
1/1/2004,34.610001,36.07,39.959999,34.57,9289570,-4.05%
2/1/2004,34.5,34.400002,34.529999,31.379999,9675223,0.29%
3/1/2004,32.439999,34.200001,34.720001,31.02,7327800,-5.15%
4/1/2004,34.360001,32.360001,35.830002,31.200001,9038613,6.18%
5/1/2004,37.369999,34.380001,37.740002,33.52,5584412,8.70%
6/1/2004,39.650002,37.509998,39.650002,36.150002,4296510,5.71%
7/1/2004,36.610001,39.549999,39.900002,35.27,4989423,-7.43%
8/1/2004,37.349998,36.549999,37.790001,32.380001,6510522,2.19%
9/1/2004,37.169998,37.200001,37.700001,35.790001,4497131,-0.08%
10/1/2004,40.009998,37.419998,40.48,37.150002,5378845,6.92%
11/1/2004,41.98,39.759998,42.959999,39.5,6697604,5.58%
12/1/2004,44.82,42.150002,45.150002,40.93,7577184,6.33%
1/1/2005,43.639999,44.580002,45.259998,40.68,7443835,-2.11%
2/1/2005,43.82,43.82,45.669998,42.25,4995802,0.00%
3/1/2005,44.060001,43.68,45.740002,42.779999,6989052,0.87%
4/1/2005,47.400002,44,47.889999,42.849998,9955152,7.73%
5/1/2005,47.759998,47,48.950001,45.959999,7333219,1.62%
6/1/2005,47.900002,47.450001,50,46.459999,7820808,0.95%
7/1/2005,51.34,47.639999,52.330002,47.459999,5693297,7.77%
8/1/2005,47.040001,51.360001,52.299999,46.299999,4846139,-8.41%
9/1/2005,48.639999,47.049999,50.740002,45.799999,5958103,3.38%
10/1/2005,49.709999,48.799999,50.099998,45.700001,6317260,1.86%
11/1/2005,48.09,49.360001,50.34,47.900002,4004958,-2.57%
12/1/2005,46.84,48.220001,49.549999,46.630001,8556341,-2.86%
1/1/2006,49.48,46.84,50.09,45.68,10288418,5.64%
2/1/2006,50.990002,49.48,51.869999,48.75,6327546,3.05%
3/1/2006,53.049999,51.009998,53.540001,49.939999,6429960,4.00%
4/1/2006,51.560001,53.09,54.779999,50.77,5984219,-2.88%
5/1/2006,48.220001,50.77,51.360001,46.310001,10427156,-5.02%
6/1/2006,45.459999,48.240002,49,43.73,10670829,-5.76%
7/1/2006,44.82,45.380001,46.939999,44,9097477,-1.23%
8/1/2006,45.189999,44.599998,46.060001,44.200001,6240741,1.32%
9/1/2006,44.639999,45.220001,46.099998,44.119999,6005942,-1.28%
10/1/2006,46.02,44.540001,47.57,43.700001,7964873,3.32%
11/1/2006,47.48,45.970001,48.669998,45.080002,5742737,3.28%
12/1/2006,46.619999,47.009998,47.990002,45.990002,5664404,-0.83%
1/1/2007,46.650002,46.619999,48.060001,45.91,6618191,0.06%
2/1/2007,48.849998,46.689999,50.59,46.602001,7344692,4.63%
3/1/2007,48.59,48,49.040001,46.049999,7693422,1.23%
4/1/2007,51.220001,48.490002,52.32,47.43,9311844,5.63%
5/1/2007,53.07,51.220001,53.48,51.16,9263885,3.61%
6/1/2007,53.110001,53.009998,54.650002,52.369999,9850750,0.19%
7/1/2007,52.68,53.099998,54.669998,50.919998,10184940,-0.79%
8/1/2007,49.759998,52.349998,55.481998,49.290001,19154898,-4.95%
9/1/2007,47.360001,49.759998,50.82,46.119999,11530877,-4.82%
10/1/2007,51.790001,47.02,51.790001,45.57,14174295,10.14%
11/1/2007,51.48,51.009998,53.110001,48.389999,14290191,0.92%
12/1/2007,50.400002,51.59,53,48.849998,7857522,-2.31%
1/1/2008,48.400002,50.400002,50.68,43.16,17202597,-3.97%
2/1/2008,45.299999,48.389999,50.5,45.029999,10915229,-6.39%
3/1/2008,43.639999,45.209999,46.849998,41.959999,11159097,-3.47%
4/1/2008,48.66,43.049999,49.73,39.68,20551520,13.03%
5/1/2008,51.25,49.07,51.73,48.560001,15421381,4.44%
6/1/2008,48.110001,51.169998,52.200001,48.049999,15389561,-5.98%
7/1/2008,57.59,47.759998,58.419998,42.880001,16543616,20.58%
8/1/2008,56.049999,57.5,60.27,52.950001,13254820,-2.52%
9/1/2008,57.919998,56.049999,83.099998,51.790001,15227277,3.34%
10/1/2008,51.450001,57.73,63.259998,43.490002,13619607,-10.88%
11/1/2008,40.049999,51.389999,55.610001,28.559999,19816623,-22.07%
12/1/2008,26.23,38.860001,39.709999,23.49,20357964,-32.50%
1/1/2009,20.77,26.23,26.48,19.76,17313461,-20.82%
2/1/2009,16.35,20.52,23.389999,14.9,19581928,-20.32%
3/1/2009,20.01,16.15,22.4,11.58,25636843,23.90%
4/1/2009,20.76,19.469999,22.65,15.61,20654653,6.63%
5/1/2009,26.969999,20.83,29.299999,20.65,11731672,29.48%
